Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,4220.0,8.0,133.0,17333.0,0.1,8919.956199999999,0.0,0.0,3739.2405219078064,,,,,,,,,,,,,,,,,,,,,3625.36623513994,2579.711520113941,8454.683402848686,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,4463.0,9.0,243.0,17576.0,0.1,15355.002900000001,0.0,0.0,3763.2560279369354,,,,,,,,,,,,,,,,,,,,,6508.8974086738135,4124.011931407955,13800.928886536452,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,5099.0,10.0,636.0,18212.0,0.1,35711.65960000002,0.0,0.0,3826.026623249054,,,,,,,,,,,,,,,,,,,,,14472.391873738772,7657.820057574842,26560.312432855415,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,5178.0,11.0,79.0,18291.0,0.1,3528.2548999999985,0.0,0.0,3833.951187849045,,,,,,,,,,,,,,,,,,,,,1371.7489934641974,1073.4396855465118,3426.7367763322186,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,6243.0,12.0,1065.0,19356.0,0.1,63128.3725999999,0.0,0.0,3938.5541999340057,,,,,,,,,,,,,,,,,,,,,23220.32317829041,11601.083091193741,38475.64122192329,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,6289.0,13.0,46.0,19402.0,0.1,2064.1535999999996,0.0,0.0,3943.499106645584,,,,,,,,,,,,,,,,,,,,,834.7103058295043,713.2907572441527,2029.8145251676528,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,6369.0,14.0,80.0,19482.0,0.1,3723.5071999999977,0.0,0.0,3951.5294699668884,,,,,,,,,,,,,,,,,,,,,1375.2747331171934,1129.8979702672518,3620.7230467210197,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,7401.0,15.0,1032.0,20514.0,0.1,61099.126099999936,0.0,0.0,4053.122821331024,,,,,,,,,,,,,,,,,,,,,20544.122308290793,11129.491783942985,39977.50691416535,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,8448.0,16.0,1047.0,21561.0,0.1,59982.43369999999,0.0,0.0,4156.4183304309845,,,,,,,,,,,,,,,,,,,,,20603.313443887193,11442.738159476801,38487.701439427554,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,8837.0,17.0,389.0,21950.0,0.1,22483.602800000015,0.0,0.0,4195.114396810532,,,,,,,,,,,,,,,,,,,,,9656.174409833875,5613.409563427385,18764.861913539786,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.0,0.0,0.0,0.0,0.0,1082.0,23032.0,0.1,63301.39920000015,0.0,0.0,5864.389285802841,,,,,,,,,690.0614,28.73644,747.73816,656.763,,,,,3844.856,2571.9722,15846.934,350.26688,21443.356215685508,11010.93086509494,40180.0076098403,96.0,2.3042781,0.0,2.3042781,2.3042781,4.01153273541341e-17,0.9999999999923206,6.236377040934477,-6.8393563594040225,7392.906,1369.095,10221.657,-759.8024,690.14874,28.693195,747.7043,656.8868,-0.06349395,0.049817134,0.058236357,-0.10606384,8088.378977871131,1743.9265822811003,10502.720585756011,-166.23499785728632,0.16140167,0.0,0.16140167,0.16140167,1.0722218,1.1470326,213.5427,1.4094681e-07,1.008948,0.16823341,1.2,0.8
59,3.0,0.0,0.0,1072.0,1.0,1072.0,24104.0,0.1,63471.11139999999,0.0,0.0,5976.668140172958,,,,,,,,,,,,,,,,,,,,,23518.137792654645,10944.052799011175,38336.30195387998,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
